,layers,thresholds,learning rates,epochs,layer_n,epoch,train accuracy,validation accuracy
92,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,25,0.5076666474342346,0.45260000228881836
93,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,26,0.5268444418907166,0.4618000090122223
94,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,27,0.534333348274231,0.46799999475479126
95,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,28,0.527222216129303,0.45680001378059387
96,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,29,0.538444459438324,0.4641999900341034
97,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,30,0.5489110946655273,0.4758000075817108
98,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,31,0.5424888730049133,0.46720001101493835
99,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,32,0.5471333265304565,0.4675999879837036
100,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,33,0.5481111407279968,0.4674000144004822
101,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,34,0.5559555292129517,0.47839999198913574
102,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,35,0.5678889155387878,0.46639999747276306
103,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,36,0.5585333108901978,0.47699999809265137
104,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,37,0.5696444511413574,0.475600004196167
105,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,38,0.5730222463607788,0.4733999967575073
106,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,39,0.5717333555221558,0.4691999852657318
107,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,40,0.5750222206115723,0.47679999470710754
108,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,41,0.5759333372116089,0.4740000069141388
109,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,42,0.5866888761520386,0.47600001096725464
110,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,43,0.5825777649879456,0.47999998927116394
111,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,44,0.5860000252723694,0.4797999858856201
112,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,45,0.5949110984802246,0.4851999878883362
113,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,46,0.5930888652801514,0.47620001435279846
114,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,47,0.6083555817604065,0.48019999265670776
115,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,48,0.6000444293022156,0.4867999851703644
116,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,49,0.6107777953147888,0.4878000020980835
117,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,50,0.6169111132621765,0.4875999987125397
118,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,51,0.6164888739585876,0.48260000348091125
119,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,52,0.6124444603919983,0.4779999852180481
120,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,53,0.6233111023902893,0.4814000129699707
121,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,54,0.628600001335144,0.48980000615119934
122,"[3072, 500, 300]","[3, 5]","[0.03, 0.05]","[70, 40]",1,55,0.6226444244384766,0.48559999465942383
